postcode,name,search_postcode,latitude,longitude
37001–37099,Göttingen,37073,51.53420248904508,9.935046853974795
53511–53518,Adenau,53518,50.38258593523809,6.92941693904762
34521–34537,Bad Wildungen,34537,51.11048592208685,9.116244682354097
66441–66450,Bexbach,66450,49.35951914945237,7.261806431117779
"97335, 97337",Dettelbach,97337,49.80513660739269,10.153645467408586
"37125,37127",Dransfeld,37127,51.4881409644638,9.747194832652449
35109–35110,Frankenau,35110,51.097461039293286,8.92151136826855
64501–64521,Groß-Gerau,64521,49.90673971623085,8.48022408338233
01801–01809,Heidenau,01809,50.96044879056065,13.854581950703365
37230–37235,Hessisch Lichtenau,37235,51.203117437166945,9.712110514637438
"55216, 55218, 55262, 55263",Ingelheim am Rhein,55263,49.97743950025543,8.118287339974456
99446–99448,Kranichfeld,99448,50.85655763172738,11.19080325640423
33162–33165,Lichtenau,33165,51.61019709508496,8.878718579633986
66651–66663,Merzig,66663,49.44928497780627,6.632617494169041
01841–01844,Neustadt in Sachsen,01844,51.028116306576294,14.214654368128064
23854–23858,Reinfeld (Holstein),23858,53.83285294511111,10.493913992666666
"18540, 18546",Sassnitz,18546,54.514147068573116,13.622729011615565
01851–01855,Sebnitz,01855,50.95944896337705,14.27247162842623
02679–02681,Wilthen,02681,51.09061084582346,14.412456142920616
"35614,35630 (Heinrichsegen)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Aßlar,35614,50.59343475086646,8.45017913427625
78267,Aach,78267,47.84204984036061,8.854742132732317
52062–52080,Aachen,52062,50.77643283176553,6.086669673288873
"73430–73434, 73453",Aalen,73430,48.83874607033844,10.085620109546616
91183,Abenberg,91183,49.23760620916201,10.951095987821228
93326,Abensberg,93326,48.81903613154418,11.853234060115607
77855,Achern,77855,48.62782060512745,8.058864495020748
28832,Achim,28832,53.01313779561926,9.039392380679345
74740,Adelsheim,74740,49.395312086819885,9.39391579967167
08626,Adorf/Vogtl.,08626,50.3298126001226,12.240908368083367
48683,Ahaus,48683,52.08738832591691,6.976113009989791
"59227, 59229",Ahlen,59227,51.77418550355921,7.896546688336755
22926,Ahrensburg,22926,53.67416454223983,10.23154698246309
86551,Aichach,86551,48.453751673319296,11.126217119326215
72631,Aichtal,72631,48.626768222100516,9.240643809600515
"06385,06386 (Kleinzerbst)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Aken (Elbe),06385,51.85097907172549,12.047776260745097
72458–72461,Albstadt,72458,48.2134289877732,9.020098558226804
31061,Alfeld (Leine),31061,51.98261185981143,9.814504635945786
35469,Allendorf (Lumda),35469,50.6780708700361,8.825169059265944
06542,Allstedt,06542,51.45049304492386,11.424966098984772
72275,Alpirsbach,72275,48.34053771434245,8.418350160105915
52477,Alsdorf,52477,50.86715897314591,6.177654567350015
36304,Alsfeld,36304,50.753715208049535,9.274531029489165
06425,Alsleben (Saale),06425,51.656052833870966,11.62815845184332
84503,Altötting,84503,48.22530410354985,12.674964084743202
90518,Altdorf bei Nürnberg,90518,49.38462051411424,11.355110829428808
58762,Altena,58762,51.29211041710976,7.692400289251804
"01773,01778 (Fürstenau, Fürstenwalde, Geising, Lauenstein, Liebenau, Müglitz)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Altenberg,01773,50.77312071187394,13.745470516657287
04600,Altenburg,04600,50.98915201713903,12.436142729131861
57610,Altenkirchen (Westerwald),57610,50.685571737163,7.651404623517212
72213,Altensteig,72213,48.58942840077464,8.604997959894366
17087,Altentreptow,17087,53.69475428923669,13.248308259637561
15345,Altlandsberg,15345,52.57226872849589,13.867439602937718
63755,Alzenau,63755,50.08610845654704,9.070072010184287
55232,Alzey,55232,49.7484957690489,8.092249231810854
35287,Amöneburg,35287,50.76686602320675,8.920546595358651
92224,Amberg,92224,49.44603081313679,11.859803613074279
63916,Amorbach,63916,49.64215420864469,9.222079965860807
"99831, 99826",Amt Creuzburg,99831,51.06861685072077,10.288486714842499
06577,An der Schmücke,06577,51.28734249608939,11.182969560893854
56626,Andernach,56626,50.42841509754872,7.391261739007308
16278,Angermünde,16278,53.022398814865376,13.991409349715585
17389 (Anklam mit Gellendin) 17392 (Pelsin mit Stretense)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text,Anklam,17389,53.849124606956515,13.694717882401656
09456,Annaberg-Buchholz,09456,50.57909423749557,13.022158088151828
06925,Annaburg,06925,51.7065483906682,12.99075593187404
76855,Annweiler am Trifels,76855,49.20576265731895,7.970698842578326
91522,Ansbach,91522,49.298528363271224,10.57379797679089
99510,Apolda,99510,51.020358068708546,11.491383144986344
39619,Arendsee (Altmark),39619,52.85654703728972,11.45789771915888
39596,Arneburg,39596,52.687728804056604,11.937138369669812
24399,Arnis,24399,54.6308878126506,9.932422418072289
"59755, 59757, 59759, 59821, 59823",Arnsberg,59755,51.45298080035655,7.971916339053958
99310,Arnstadt,99310,50.82829621820652,10.972804016480179
06456,Arnstein,06456,51.675932607632504,11.4707411975265
97450,Arnstein,97450,49.98278817890625,9.947846025
06556,Artern,06556,51.36396821823339,11.299109105307942
95659,Arzberg,95659,50.05541224049587,12.180613484865702
"63739, 63741, 63743",Aschaffenburg,63739,49.97487913787543,9.155639588175783
06449,Aschersleben,06449,51.75801762518223,11.47540338437902
71679,Asperg,71679,48.90464417152235,9.138872284964052
57439,Attendorn,57439,51.12973718608424,7.902137452909659
97239,Aub,97239,49.552445193333334,10.06498501111111
"08280 (Aue),08301 (Bad Schlema)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Aue-Bad Schlema,08280,50.59466315780193,12.687611616859904
08209,Auerbach/Vogtl.,08209,50.50520918976073,12.404773929575338
91275,Auerbach in der Oberpfalz,91275,49.68979467088949,11.61477241509434
86150–86199,Augsburg,86150,48.36560426278902,10.895563052601156
09573,Augustusburg,09573,50.80630663103206,13.107066370940473
88326,Aulendorf,88326,47.94298209170306,9.639335215866085
07955,Auma-Weidatal,07955,50.70316486318639,11.914969425367362
"26603, 26605, 26607",Aurich,26603,53.47153926404233,7.4847045097566145
64832,Babenhausen,64832,49.95246480325591,8.944041799502282
55422,Bacharach,55422,50.060040964365975,7.75696836035313
"71522, 71570",Backnang,71522,48.945315838769474,9.436511907722052
83043,Bad Aibling,83043,47.86407958060582,12.004958085708477
34454,Bad Arolsen,34454,51.37580912363847,9.014829027095404
14806,Bad Belzig,14806,52.15723994086514,12.59487303946565
48455,Bad Bentheim,48455,52.29873676222439,7.13092583604888
76887,Bad Bergzabern,76887,49.10157646892039,8.00606241995638
99438,Bad Berka,99438,50.89787459350858,11.271187809656652
57319,Bad Berleburg,57319,51.04237468431573,8.40020000835469
95460,Bad Berneck im Fichtelgebirge,95460,50.04200386994261,11.672652358751794
29549,Bad Bevensen,29549,53.07818053381443,10.585021450309277
06647,Bad Bibra,06647,51.20517174,11.533616565178146
07422,Bad Blankenburg,07422,50.683363782495945,11.261313933468395
97769,Bad Brückenau,97769,50.316166180308876,9.802447848262549
24576,Bad Bramstedt,24576,53.916192183737024,9.868197053171857
53498,Bad Breisig,53498,50.50427132942691,7.28833895492595
88422,Bad Buchau,88422,48.07655354494382,9.609819466292135
65520,Bad Camberg,65520,50.30307595574038,8.267080631148076
04849,Bad Düben,04849,51.59773227700794,12.582225573124449
67098,Bad Dürkheim,67098,49.46001653347777,8.164315121213264
06231,Bad Dürrenberg,06231,51.290601465111344,12.078235775397667
78073,Bad Dürrheim,78073,48.01047586663022,8.564764106805137
18209,Bad Doberan,18209,54.10297437627677,11.898144737747117
33014,Bad Driburg,33014,51.72379992793004,9.028212697024884
08645,Bad Elster,08645,50.28078239968051,12.246861372603833
56130,Bad Ems,56130,50.331901516125,7.720383199875
29683,Bad Fallingbostel,29683,52.88021320290404,9.719544217550506
"76530, 76532, 76534",Baden-Baden,76530,48.76316516736149,8.241326839879319
95671,Bärnau,95671,49.801745333139536,12.403735023255814
06567,Bad Frankenhausen/Kyffhäuser,06567,51.35630290877193,11.117715718546366
16259,Bad Freienwalde (Oder),16259,52.80562681705361,14.03280667940059
74177,Bad Friedrichshall,74177,49.234458312018326,9.21345030726932
37581,Bad Gandersheim,37581,51.87202664680535,10.024688608915305
01816,Bad Gottleuba-Berggießhübel,01816,50.85575987903477,13.955146825376234
94086,Bad Griesbach im Rottal,94086,48.46223973961749,13.19296352021858
53557,Bad Hönningen,53557,50.51875920352564,7.311510196153846
38667,Bad Harzburg,38667,51.890489663054666,10.549607121672025
76332,Bad Herrenalb,76332,48.80639637356924,8.445963344342507
36251,Bad Hersfeld,36251,50.88403536882291,9.708288497624602
"61348, 61350, 61352",Bad Homburg vor der Höhe,61348,50.22636355606796,8.611379175520112
53604,Bad Honnef,53604,50.648215816065665,7.2545304841899885
49186,Bad Iburg,49186,52.152425447540985,8.05492499648712
64732,Bad König,64732,49.742505931108894,9.002483304581673
97631,Bad Königshofen im Grabfeld,97631,50.29891184098639,10.47499219404762
07586,Bad Köstritz,07586,50.90789224769175,11.982257887640857
93444,Bad Kötzting,93444,49.17826233353752,12.85668632105666
34385,Bad Karlshafen,34385,51.63985223794695,9.456141102998847
97688,Bad Kissingen,97688,50.19977953612053,10.08142398071563
"55543, 55545, 55583Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Bad Kreuznach,55543,49.83868596655196,7.865968092773572
79189,Bad Krozingen,79189,47.92154089964413,7.691899862411033
57334,Bad Laasphe,57334,50.92943093431122,8.372912113860545
99947,Bad Langensalza,99947,51.1107732556804,10.650253836912192
06246,Bad Lauchstädt,06246,51.38535848491424,11.843793778508925
04651,Bad Lausick,04651,51.14382349394416,12.651553744789618
37431,Bad Lauterberg im Harz,37431,51.62327568268551,10.446202570848056
36448,Bad Liebenstein,36448,50.82072395949319,10.348621248260212
"04924,04895 (Burxdorf),04931 (Kosilenzien, Langenrieth, Möglenz, Neuburxdorf)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Bad Liebenwerda,04924,51.524713691758826,13.392621794839389
75378,Bad Liebenzell,75378,48.77352145780261,8.74193668603352
33175,Bad Lippspringe,33175,51.78360656532593,8.818721702542764
07356,Bad Lobenstein,07356,50.45400493980061,11.637098371932515
31848,Bad Münder am Deister,31848,52.207934403482426,9.437049773003196
53902,Bad Münstereifel,53902,50.54476284157192,6.801018880940876
56470,Bad Marienberg (Westerwald),56470,50.647613406521735,7.948539170807454
97980,Bad Mergentheim,97980,49.4744392735619,9.779562724487162
02953,Bad Muskau,02953,51.544758468453935,14.682464537220199
61231,Bad Nauheim,61231,50.37177957028661,8.742812243531422
31542,Bad Nenndorf,31542,52.33735993362328,9.373094209769153
53474,Bad Neuenahr-Ahrweiler,53474,50.54160114781898,7.121287937377318
97616,Bad Neustadt an der Saale,97616,50.323760618633536,10.211542116563148
"32545, 32547, 32549",Bad Oeynhausen,32545,52.19251560425532,8.79742710869044
23843,Bad Oldesloe,23843,53.80829137272254,10.371958748429636
63619,Bad Orb,63619,50.22735147595287,9.348045269923771
31812,Bad Pyrmont,31812,51.980541422065166,9.251991565261141
74906,Bad Rappenau,74906,49.23821908129706,9.083231611157215
83435,Bad Reichenhall,83435,47.736598966592425,12.89275229836674
96476,Bad Rodach,96476,50.33473082097441,10.79594954682081
79713,Bad Säckingen,79713,47.5601480424173,7.949388468625954
18334,Bad Sülze,18334,54.118933788095234,12.628003584625851
37441,Bad Sachsa,37441,51.58253375829493,10.554096893087557
31162,Bad Salzdetfurth,31162,52.068056112455515,10.012439760587188
"32105, 32107, 32108",Bad Salzuflen,32105,52.08790296560469,8.746992222678683
"36433, 36469[2]",Bad Salzungen,36433,50.819963334207124,10.238898040114455
88348,Bad Saulgau,88348,48.007657203656464,9.467829889880953
01814,Bad Schandau,01814,50.91436978182968,14.163525840387857
06905,Bad Schmiedeberg,06905,51.696292796950644,12.735237672901604
88427,Bad Schussenried,88427,48.0024425858156,9.651819934751773
65307,Bad Schwalbach,65307,50.142889256210076,8.066567818772178
23611,Bad Schwartau,23611,53.91884892515714,10.696908594910317
23795,Bad Segeberg,23795,53.94189109738469,10.30807496680932
55566,Bad Sobernheim,55566,49.78906342666013,7.643911802028131
63628,Bad Soden-Salmünster,63628,50.291048939968,9.374637945664
65812,Bad Soden am Taunus,65812,50.147540469491176,8.49520500960197
37242,Bad Sooden-Allendorf,37242,51.27168576604966,9.973232330293454
96231,Bad Staffelstein,96231,50.10129305403884,11.006252455136504
"99518, 99510",Bad Sulza,99518,51.07890230595122,11.620820396682927
83646,Bad Tölz,83646,47.759600807605345,11.557607752723536
75385,Bad Teinach-Zavelstein,75385,48.692718025265954,8.694105740159575
99955,Bad Tennstedt,99955,51.16494357853659,10.834553305365853
72574,Bad Urach,72574,48.48600498072799,9.410992746388262
61118,Bad Vilbel,61118,50.184265215477204,8.73960362594166
86825,Bad Wörishofen,86825,48.0065501820132,10.603835128783592
33181,Bad Wünnenberg,33181,51.52648872537807,8.717077813137996
88339,Bad Waldsee,88339,47.91639972537089,9.745778399079812
75323,Bad Wildbad,75323,48.755570434481434,8.557767608457711
19336,Bad Wilsnack,19336,52.95846737845468,11.941068161515602
74206,Bad Wimpfen,74206,49.22900253568593,9.157951021790913
91438,Bad Windsheim,91438,49.50444368295255,10.417808695254832
88410,Bad Wurzach,88410,47.900092595617174,9.891355251878354
52499,Baesweiler,52499,50.91411341292362,6.186980119258978
91083,Baiersdorf,91083,49.65920358234666,11.036217027680001
72336,Balingen,72336,48.265541007685066,8.862256033311358
06493,Ballenstedt,06493,51.68280813144387,11.173875504692175
58802,Balve,58802,51.33238285272379,7.864180543635368
"96047, 96049, 96050, 96052",Bamberg,96047,49.893800442664805,10.887738107753018
"39249,39240 (Breitenhagen, Groß Rosenburg, Lödderitz, Sachsendorf, Zuchau)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Barby,39249,51.96346067722222,11.84350598611111
22941,Bargteheide,22941,53.72590977986578,10.260334395831862
25355,Barmstedt,25355,53.79123153192328,9.770209026537048
32683,Barntrup,32683,52.0015490420389,9.12286961311239
30890,Barsinghausen,30890,52.31077264935305,9.481139344577942
18356,Barth,18356,54.36832696319164,12.689943656399906
15837,Baruth/Mark,15837,52.044738818108975,13.499866981089744
27211,Bassum,27211,52.8660711975224,8.734621908961518
35088,Battenberg (Eder),35088,51.013479428692875,8.64010050074389
55774,Baumholder,55774,49.612502060666195,7.335106356059532
96148,Baunach,96148,49.98873646119632,10.84018000161043
34225,Baunatal,34225,51.252148768065915,9.409365134530473
02625,Bautzen,02625,51.181240187184116,14.430260746080455
"71032, 71034",Böblingen,71032,48.68362168135295,9.024059991566
04564,Böhlen,04564,51.2124052065312,12.386572174383163
74357,Bönnigheim,74357,49.03796318987286,9.101000646733889
"95444, 95445, 95447, 95448",Bayreuth,95444,49.943959830404395,11.576451904942585
36179,Bebra,36179,50.96644256626249,9.80755884914408
59269,Beckum,59269,51.767381300406996,8.039340780131347
50181,Bedburg,50181,50.99628109751911,6.553489137689512
14547,Beelitz,14547,52.25569024890244,12.927137315048782
15848,Beeskow,15848,52.16398634115942,14.20858780425121
"92339, 92345",Beilngries,92339,49.02357136853147,11.482590528671329
"71717, 71543, 71720Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Beilstein,71717,49.04455052261568,9.322057337346553
"04874, 04889Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text Vorlage:Infobox Verwaltungseinheit in Deutschland/Wartung/PLZ falsch",Belgern-Schildau,04874,51.47167004832636,13.11689003294979
56170,Bendorf,56170,50.432093014546965,7.57448803117207
64625,Bensheim,64625,49.6891520801158,8.61703050943432
92334,Berching,92334,49.11568034920634,11.44076615925926
"07980, 07570",Berga-Wünschendorf,07980,50.75256099714519,12.158968998042415
29303,Bergen,29303,52.796695727228204,9.979885806562194
18528,Bergen auf Rügen,18528,54.42088849642763,13.431921600157605
"50126, 50127, 50129",Bergheim,50126,50.95579911302791,6.628999188555807
"51427, 51429, 51465, 51467, 51469",Bergisch Gladbach,51427,50.95701093266368,7.11576999580269
59192,Bergkamen,59192,51.61913935407658,7.631383363236508
51702,Bergneustadt,51702,51.02606466669364,7.665195605463375
10115–14199,Berlin,10115,52.53174394532251,13.387824315463478
16321,Bernau bei Berlin,16321,52.67301085906142,13.568443324610076
"06406, 06392",Bernburg (Saale),06406,51.79093890535486,11.745680512349475
54470,Bernkastel-Kues,54470,49.9186739343617,7.061773880106384
02994,Bernsdorf,02994,51.375061405835005,14.061709023591549
02748,Bernstadt a. d. Eigen,02748,51.04680930313725,14.826901198666668
49593,Bersenbrück,49593,52.553927673297295,7.944002424756756
74354,Besigheim,74354,49.000205244719034,9.157027553927625
57518,Betzdorf,57518,50.78695277975626,7.876412786797562
91282,Betzenstein,91282,49.67410553376455,11.41487609767141
37688,Beverungen,37688,51.66258751543368,9.357753908014455
88400,Biberach an der Riß,88400,48.0918040259719,9.792263675487655
35216,Biedenkopf,35216,50.91438254954521,8.519395025708935
33602 – 33739,Bielefeld,33602,52.021729117810175,8.535165000457404
16359,Biesenthal,16359,52.75888822688486,13.64673790981882
74321,Bietigheim-Bissingen,74321,48.951552356830604,9.122389706946196
48727,Billerbeck,48727,51.97969946494136,7.297253306221315
55411,Bingen am Rhein,55411,49.95250877358517,7.916820235711277
55765,Birkenfeld,55765,49.64807311698825,7.164069983724833
97653,Bischofsheim in der Rhön,97653,50.400568691332474,10.005354072962485
01877,Bischofswerda,01877,51.127098634319985,14.196395913890502
"39628, 39629",Bismark (Altmark),39628,52.64127676482214,11.682770760079052
54634,Bitburg,54634,49.971338857506204,6.526239455645161
"06749, 06766, 06803, 06808",Bitterfeld-Wolfen,06749,51.626129419741694,12.323424546540592
"06502 (Timmenrode),38889 (Blankenburg (Harz), Cattenstedt, Heimburg, Hüttenrode, Wienrode),38895 (Derenburg)Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Blankenburg (Harz),06502,51.75072712585358,11.041437637114248
99444,Blankenhain,99444,50.85566203504425,11.35822238820059
89143,Blaubeuren,89143,48.41769184743183,9.796689765123652
89134,Blaustein,89134,48.4189769698087,9.901774119822567
"21354, 19273Vorlage:Infobox Gemeinde in Deutschland/Wartung/PLZ enthält Text",Bleckede,21354,53.28493277297688,10.739119320953757
99752,Bleicherode,99752,51.43354027078537,10.647338656567367
66440,Blieskastel,66440,49.22933318731884,7.24459174713768
32825,Blomberg,32825,51.94699723747677,9.06700298808993
78176,Blumberg,78176,47.83905805432526,8.544462017093426
86399,Bobingen,86399,48.27094480810526,10.812567648694737
"46395, 46397, 46399",Bocholt,46395,51.82597342943782,6.601834772386879
44787–44894,Bochum,44787,51.48190331970588,7.216740984044118
31167,Bockenem,31167,52.00358443037323,10.114700822007721
37619,Bodenwerder,37619,51.97129301546115,9.511489828166857
94327,Bogen,94327,48.91175908602041,12.694570014693877
19258,Boizenburg/Elbe,19258,53.39643804327654,10.756416459864505
